band,lat_north,lat_south,land_km2,est_rows,est_mb
0,90,74,1788526.9,17033589,511.0
1,74,71,1397298.9,13307609,399.2
2,71,69,1652095.8,15734246,472.0
3,69,68,1119113.7,10658226,319.7
4,68,67,1277435.2,12166050,365.0
5,67,66,1372785.2,13074145,392.2
6,66,65,1432224.9,13640238,409.2
7,65,64,1446984.7,13780806,413.4
8,64,63,1439567.2,13710164,411.3
9,63,62,1453370.7,13841626,415.2
10,62,61,1441120.2,13724954,411.7
11,61,60,1401482.1,13347448,400.4
12,60,59,1287782.3,12264594,367.9
13,59,58,1248848.0,11893791,356.8
14,58,57,1282790.0,12217048,366.5
15,57,56,1339577.4,12757880,382.7
16,56,55,1373315.1,13079192,392.4
17,55,54,1466055.0,13962429,418.9
18,54,53,1594121.1,15182106,455.5
19,53,52,1656271.4,15774013,473.2
20,52,51,1665508.1,15861982,475.9
21,51,50,1656564.7,15776807,473.3
22,50,49,1650446.3,15718537,471.6
23,49,48,1705506.6,16242920,487.3
24,48,47,1709935.3,16285098,488.6
25,47,46,1691460.4,16109147,483.3
26,46,45,1687633.8,16072703,482.2
27,45,44,1641911.7,15637254,469.1
28,44,43,1615582.9,15386504,461.6
29,43,42,1560057.4,14857690,445.7
30,42,41,1576757.7,15016740,450.5
31,41,40,1601243.3,15249936,457.5
32,40,39,1550319.8,14764951,442.9
33,39,38,1519269.0,14469229,434.1
34,38,37,1539442.4,14661356,439.8
35,37,36,1525241.7,14526111,435.8
36,36,35,1535259.3,14621517,438.6
37,35,34,1527022.0,14543067,436.3
38,34,33,1512126.7,14401207,432.0
39,33,32,1571945.0,14970905,449.1
40,32,31,1642963.6,15647273,469.4
41,31,30,1715894.1,16341849,490.3
42,30,29,1651228.2,15725983,471.8
43,29,28,1617702.3,15406688,462.2
44,28,27,1605455.5,15290053,458.7
45,27,26,1565683.5,14911271,447.3
46,26,25,1526666.2,14539678,436.2
47,25,24,1472302.5,14021929,420.7
48,24,23,1492279.2,14212183,426.4
49,23,22,1490119.5,14191614,425.7
50,22,21,1412042.5,13448024,403.4
51,21,20,1345458.9,12813894,384.4
52,20,19,1314908.4,12522937,375.7
53,19,18,1325795.7,12626626,378.8
54,18,17,1246264.1,11869182,356.1
55,17,15,2298309.1,21888658,656.7
56,15,13,2142968.3,20409222,612.3
57,13,11,1935659.0,18434848,553.0
58,11,9,2133152.6,20315739,609.5
59,9,7,2208421.1,21032582,631.0
60,7,5,2067420.2,19689717,590.7
61,5,3,1850615.6,17624910,528.7
62,3,1,1903363.8,18127274,543.8
63,1,-1,2000323.4,19050699,571.5
64,-1,-3,2173682.3,20701736,621.1
65,-3,-5,2212580.4,21072194,632.2
66,-5,-7,2118838.7,20179416,605.4
67,-7,-9,2080110.4,19810575,594.3
68,-9,-11,1772076.0,16876914,506.3
69,-11,-13,1724418.8,16423036,492.7
70,-13,-15,1861595.2,17729478,531.9
71,-15,-17,2029339.9,19327047,579.8
72,-17,-19,2028080.1,19315049,579.5
73,-19,-21,1992922.1,18980211,569.4
74,-21,-23,2077274.1,19783563,593.5
75,-23,-25,1961684.0,18682705,560.5
76,-25,-27,1776650.7,16920482,507.6
77,-27,-29,1709626.2,16282154,488.5
78,-29,-31,1567394.5,14927566,447.8
79,-31,-34,1851823.5,17636414,529.1
80,-34,-42,1805896.5,17199014,516.0
81,-42,-68,1542477.1,14690258,440.7
82,-68,-71,1628245.9,15507104,465.2
83,-71,-73,1457073.1,13876887,416.3
84,-73,-75,1527373.6,14546416,436.4
85,-75,-77,1569481.8,14947446,448.4
86,-77,-79,1443408.2,13746745,412.4
87,-79,-82,1715567.8,16338741,490.2
88,-82,-86,1709496.9,16280923,488.4
89,-86,-90,621247.4,5916642,177.5
