lat_north,lat_south,land_km2
90,89,0.000
89,88,0.000
88,87,0.000
87,86,0.000
86,85,0.000
85,84,0.000
84,83,13057.489
83,82,72003.109
82,81,128644.207
81,80,173363.109
80,79,188736.775
79,78,208125.779
78,77,192576.360
77,76,243698.225
76,75,310601.403
75,74,257720.435
74,73,348064.161
73,72,477995.837
72,71,571238.951
71,70,714950.343
70,69,937145.492
69,68,1119113.692
68,67,1277435.211
67,66,1372785.250
66,65,1432224.950
65,64,1446984.667
64,63,1439567.208
63,62,1453370.705
62,61,1441120.163
61,60,1401482.074
60,59,1287782.330
59,58,1248848.005
58,57,1282790.031
57,56,1339577.384
56,55,1373315.138
55,54,1466055.040
54,53,1594121.082
53,52,1656271.383
52,51,1665508.118
51,50,1656564.739
50,49,1650446.338
49,48,1705506.612
48,47,1709935.263
47,46,1691460.435
46,45,1687633.789
45,44,1641911.672
44,43,1615582.944
43,42,1560057.437
42,41,1576757.706
41,40,1601243.301
40,39,1550319.829
39,38,1519269.018
38,37,1539442.363
37,36,1525241.700
36,35,1535259.283
35,34,1527022.033
34,33,1512126.703
33,32,1571945.002
32,31,1642963.616
31,30,1715894.111
30,29,1651228.242
29,28,1617702.253
28,27,1605455.513
27,26,1565683.502
26,25,1526666.150
25,24,1472302.516
24,23,1492279.179
23,22,1490119.522
22,21,1412042.548
21,20,1345458.911
20,19,1314908.367
19,18,1325795.688
18,17,1246264.077
17,16,1177634.248
16,15,1120674.810
15,14,1103054.458
14,13,1039913.840
13,12,977869.163
12,11,957789.839
11,10,1054040.362
10,9,1079112.279
9,8,1115841.398
8,7,1092579.720
7,6,1043207.580
6,5,1024212.661
5,4,948727.212
4,3,901888.388
3,2,932609.799
2,1,970754.001
1,0,997132.658
0,-1,1003190.771
-1,-2,1071359.928
-2,-3,1102322.340
-3,-4,1141439.596
-4,-5,1071140.780
-5,-6,1059408.716
-6,-7,1059429.980
-7,-8,1064036.577
-8,-9,1016073.828
-9,-10,917898.217
-10,-11,854177.737
-11,-12,837330.920
-12,-13,887087.881
-13,-14,909491.625
-14,-15,952103.527
-15,-16,1000687.802
-16,-17,1028652.094
-17,-18,1030012.481
-18,-19,998067.655
-19,-20,978784.809
-20,-21,1014137.329
-21,-22,1040286.760
-22,-23,1036987.315
-23,-24,994755.463
-24,-25,966928.575
-25,-26,900183.656
-26,-27,876467.002
-27,-28,866411.369
-28,-29,843214.804
-29,-30,799690.155
-30,-31,767704.298
-31,-32,713684.323
-32,-33,607598.793
-33,-34,530540.382
-34,-35,369937.126
-35,-36,287285.548
-36,-37,269341.510
-37,-38,269868.122
-38,-39,208455.969
-39,-40,136820.677
-40,-41,127949.878
-41,-42,136237.646
-42,-43,129633.053
-43,-44,109533.290
-44,-45,105646.509
-45,-46,96286.173
-46,-47,79448.680
-47,-48,73418.006
-48,-49,71201.456
-49,-50,67243.347
-50,-51,48224.334
-51,-52,51156.722
-52,-53,37757.102
-53,-54,32136.463
-54,-55,39771.180
-55,-56,8949.015
-56,-57,0.000
-57,-58,65.978
-58,-59,64.695
-59,-60,252.871
-60,-61,848.441
-61,-62,1180.305
-62,-63,2635.397
-63,-64,9409.819
-64,-65,17332.327
-65,-66,17151.831
-66,-67,169785.060
-67,-68,373345.007
-68,-69,471965.992
-69,-70,537015.948
-70,-71,619263.969
-71,-72,730907.688
-72,-73,726165.417
-73,-74,760790.366
-74,-75,766583.268
-75,-76,799902.184
-76,-77,769579.594
-77,-78,744266.819
-78,-79,699141.392
-79,-80,625308.520
-80,-81,557989.864
-81,-82,532269.438
-82,-83,497725.684
-83,-84,461098.421
-84,-85,407437.549
-85,-86,343235.224
-86,-87,271733.644
-87,-88,194154.605
-88,-89,116516.424
-89,-90,38842.752
